Name,Date,Active cases
XinJiang,2020/4/7,0 
XinJiang,2020/4/6,0 
XinJiang,2020/4/5,0 
XinJiang,2020/4/4,0 
XinJiang,2020/4/3,0 
XinJiang,2020/4/2,0 
XinJiang,2020/4/1,0 
XinJiang,2020/3/31,0 
XinJiang,2020/3/30,0 
XinJiang,2020/3/29,0 
XinJiang,2020/3/28,0 
XinJiang,2020/3/27,0 
XinJiang,2020/3/26,0 
XinJiang,2020/3/25,0 
XinJiang,2020/3/24,0 
XinJiang,2020/3/23,0 
XinJiang,2020/3/22,0 
XinJiang,2020/3/21,0 
XinJiang,2020/3/20,0 
XinJiang,2020/3/19,0 
XinJiang,2020/3/18,0 
XinJiang,2020/3/17,0 
XinJiang,2020/3/16,0 
XinJiang,2020/3/15,0 
XinJiang,2020/3/14,0 
XinJiang,2020/3/13,0 
XinJiang,2020/3/12,0 
XinJiang,2020/3/11,0 
XinJiang,2020/3/10,0 
XinJiang,2020/3/9,0 
XinJiang,2020/3/8,0 
XinJiang,2020/3/7,1 
XinJiang,2020/3/6,2 
XinJiang,2020/3/5,3 
XinJiang,2020/3/4,4 
XinJiang,2020/3/3,5 
XinJiang,2020/3/2,7 
XinJiang,2020/3/1,9 
XinJiang,2020/2/29,11 
XinJiang,2020/2/28,21 
XinJiang,2020/2/27,31 
XinJiang,2020/2/26,40 
XinJiang,2020/2/25,44 
XinJiang,2020/2/24,44 
XinJiang,2020/2/23,46 
XinJiang,2020/2/22,49 
XinJiang,2020/2/21,51 
XinJiang,2020/2/20,53 
XinJiang,2020/2/19,55 
XinJiang,2020/2/18,63 
XinJiang,2020/2/17,62 
XinJiang,2020/2/16,58 
XinJiang,2020/2/15,59 
XinJiang,2020/2/14,58 
XinJiang,2020/2/13,56 
XinJiang,2020/2/12,56 
XinJiang,2020/2/11,52 
XinJiang,2020/2/10,49 
XinJiang,2020/2/9,45 
XinJiang,2020/2/8,42 
XinJiang,2020/2/7,39 
XinJiang,2020/2/6,36 
XinJiang,2020/2/5,32 
XinJiang,2020/2/4,29 
XinJiang,2020/2/3,24 
XinJiang,2020/2/2,21 
XinJiang,2020/2/1,18 
XinJiang,2020/1/31,17 
XinJiang,2020/1/30,14 
XinJiang,2020/1/29,13 
XinJiang,2020/1/28,10 
XinJiang,2020/1/27,5 
XinJiang,2020/1/26,4 
XinJiang,2020/1/25,3 
XinJiang,2020/1/24,2 
XinJiang,2020/1/23,2 
XiZang,2020/6/1,0 
XiZang,2020/5/31,0 
XiZang,2020/5/30,0 
XiZang,2020/5/29,0 
XiZang,2020/5/28,0 
XiZang,2020/5/27,0 
XiZang,2020/5/26,0 
XiZang,2020/5/25,0 
XiZang,2020/5/24,0 
XiZang,2020/5/23,0 
XiZang,2020/5/22,0 
XiZang,2020/5/21,0 
XiZang,2020/5/20,0 
XiZang,2020/5/19,0 
XiZang,2020/5/18,0 
XiZang,2020/5/17,0 
XiZang,2020/5/16,0 
XiZang,2020/5/15,0 
XiZang,2020/5/14,0 
XiZang,2020/5/13,0 
XiZang,2020/5/12,0 
XiZang,2020/5/11,0 
XiZang,2020/5/10,0 
XiZang,2020/5/9,0 
XiZang,2020/5/8,0 
XiZang,2020/5/7,0 
XiZang,2020/5/6,0 
XiZang,2020/5/5,0 
XiZang,2020/5/4,0 
XiZang,2020/5/3,0 
